area,year,series,value,location,country_code
Senegal,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,686
Senegal,2010,Researchers per million inhabitants (FTE),369.1,,686
Senegal,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,686
Senegal,2015,Researchers per million inhabitants (FTE),564.3,,686
Serbia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,688
Serbia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,688
Serbia,2010,Researchers per million inhabitants (FTE),1514.8,,688
Serbia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,688
Serbia,2015,Researchers per million inhabitants (FTE),2071.2,,688
Serbia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,688
Serbia,2021,Researchers per million inhabitants (FTE),2230.9,,688
Seychelles,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,690
Seychelles,2005,Researchers per million inhabitants (FTE),146.6,,690
Seychelles,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,690
Singapore,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,702
Singapore,2005,Researchers per million inhabitants (FTE),5576.9,,702
Singapore,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,702
Singapore,2010,Researchers per million inhabitants (FTE),6241.9,,702
Singapore,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,702
Singapore,2015,Researchers per million inhabitants (FTE),7006.6,,702
Singapore,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,702
Singapore,2019,Researchers per million inhabitants (FTE),7286.9,,702
Slovakia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,703
Slovakia,2005,Researchers per million inhabitants (FTE),2022.7,,703
Slovakia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,703
Slovakia,2010,Researchers per million inhabitants (FTE),2809.4,,703
Slovakia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,703
Slovakia,2015,Researchers per million inhabitants (FTE),2650.2,,703
Slovakia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,703
Slovakia,2020,Researchers per million inhabitants (FTE),3164.3,,703
Slovenia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,705
Slovenia,2005,Researchers per million inhabitants (FTE),2633.1,,705
Slovenia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,705
Slovenia,2010,Researchers per million inhabitants (FTE),3769.8,,705
Slovenia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,705
Slovenia,2015,Researchers per million inhabitants (FTE),3814.2,,705
Slovenia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,705
Slovenia,2020,Researchers per million inhabitants (FTE),4932.3,,705
South Africa,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,710
South Africa,2005,Researchers per million inhabitants (FTE),361.4,,710
South Africa,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,710
South Africa,2010,Researchers per million inhabitants (FTE),365.5,,710
South Africa,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,710
South Africa,2015,Researchers per million inhabitants (FTE),472.3,,710
South Africa,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,710
South Africa,2019,Researchers per million inhabitants (FTE),484.3,,710
Spain,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,724
Spain,2005,Researchers per million inhabitants (FTE),2492.6,,724
Spain,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,724
Spain,2010,Researchers per million inhabitants (FTE),2869.2,,724
Spain,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,724
Spain,2015,Researchers per million inhabitants (FTE),2623.4,,724
Spain,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,724
Spain,2020,Researchers per million inhabitants (FTE),3109.2,,724
Sri Lanka,2004,Researchers per million inhabitants (FTE),138.2,,144
Sri Lanka,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,144
Sri Lanka,2010,Researchers per million inhabitants (FTE),105.6,,144
Sri Lanka,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,144
Sri Lanka,2015,Researchers per million inhabitants (FTE),106.0,,144
Sri Lanka,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,144
Sri Lanka,2018,Researchers per million inhabitants (FTE),105.6,,144
Palestine,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,275
Palestine,2010,Researchers per million inhabitants (FTE),323.5,,275
Palestine,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,275
Palestine,2013,Researchers per million inhabitants (FTE),575.1,,275
Sudan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,729
Sweden,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.4,,752
Sweden,2005,Researchers per million inhabitants (FTE),6085.1,,752
Sweden,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,752
Sweden,2010,Researchers per million inhabitants (FTE),5251.5,,752
Sweden,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,752
Sweden,2015,Researchers per million inhabitants (FTE),6834.0,,752
Sweden,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.5,,752
Sweden,2020,Researchers per million inhabitants (FTE),7930.2,,752
Switzerland,2004,Researchers per million inhabitants (FTE),3468.2,,756
Switzerland,2008,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,756
Switzerland,2008,Researchers per million inhabitants (FTE),3298.2,,756
Switzerland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,756
Switzerland,2015,Researchers per million inhabitants (FTE),5271.9,,756
Switzerland,2019,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,756
Switzerland,2019,Researchers per million inhabitants (FTE),5552.0,,756
Syria,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,760
Syria,2015,Researchers per million inhabitants (FTE),91.0,,760
Tajikistan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,762
Tajikistan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,762
Tajikistan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,762
Tajikistan,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,762
Thailand,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,764
Thailand,2005,Researchers per million inhabitants (FTE),313.5,,764
Thailand,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,764
Thailand,2009,Researchers per million inhabitants (FTE),329.0,,764
Thailand,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,764
Thailand,2015,Researchers per million inhabitants (FTE),864.7,,764
Thailand,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,764
Thailand,2020,Researchers per million inhabitants (FTE),2069.9,,764
Togo,2005,Researchers per million inhabitants (FTE),33.1,,768
Togo,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,768
Togo,2010,Researchers per million inhabitants (FTE),34.3,,768
Togo,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,768
Togo,2014,Researchers per million inhabitants (FTE),38.0,,768
Togo,2015,Researchers per million inhabitants (FTE),36.1,,768
Togo,2021,Researchers per million inhabitants (FTE),45.2,,768
Trinidad and Tobago,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,780
Trinidad and Tobago,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,780
Trinidad and Tobago,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,780
Trinidad and Tobago,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,780
Trinidad and Tobago,2020,Researchers per million inhabitants (FTE),638.8,,780
Tunisia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,788
Tunisia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,788
Tunisia,2010,Researchers per million inhabitants (FTE),1384.7,,788
Tunisia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,788
Tunisia,2015,Researchers per million inhabitants (FTE),1800.1,,788
Tunisia,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,788
Tunisia,2019,Researchers per million inhabitants (FTE),1744.9,,788
Tunisia,2021,Researchers per million inhabitants (FTE),1621.6,,788
Turkey,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,792
Turkey,2005,Researchers per million inhabitants (FTE),576.4,,792
Turkey,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,792
Turkey,2010,Researchers per million inhabitants (FTE),889.6,,792
Turkey,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,792
Turkey,2015,Researchers per million inhabitants (FTE),1211.8,,792
Turkey,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,792
Turkey,2020,Researchers per million inhabitants (FTE),1775.3,,792
Uganda,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,800
Uganda,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,800
Uganda,2010,Researchers per million inhabitants (FTE),38.9,,800
Uganda,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,800
Uganda,2014,Researchers per million inhabitants (FTE),27.8,,800
Ukraine,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,804
Ukraine,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,804
Ukraine,2010,Researchers per million inhabitants (FTE),1328.0,,804
Ukraine,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,804
Ukraine,2015,Researchers per million inhabitants (FTE),1006.0,,804
Ukraine,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,804
Ukraine,2021,Researchers per million inhabitants (FTE),587.5,,804
United Arab Emirates,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,784
United Arab Emirates,2015,Researchers per million inhabitants (FTE),1980.5,,784
United Arab Emirates,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,784
United Arab Emirates,2021,Researchers per million inhabitants (FTE),2488.8,,784
United Kingdom,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,826
United Kingdom,2005,Researchers per million inhabitants (FTE),4123.5,,826
United Kingdom,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,826
United Kingdom,2010,Researchers per million inhabitants (FTE),4043.3,,826
United Kingdom,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,826
United Kingdom,2015,Researchers per million inhabitants (FTE),4319.5,,826
United Kingdom,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,826
United Kingdom,2019,Researchers per million inhabitants (FTE),4683.8,,826
Tanzania,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,834
Tanzania,2010,Researchers per million inhabitants (FTE),36.1,,834
Tanzania,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,834
Tanzania,2013,Researchers per million inhabitants (FTE),19.2,,834
United States of America,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.5,,840
United States of America,2005,Researchers per million inhabitants (FTE),3739.7,,840
United States of America,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,840
United States of America,2010,Researchers per million inhabitants (FTE),3883.2,,840
United States of America,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.8,,840
United States of America,2015,Researchers per million inhabitants (FTE),4269.9,,840
United States of America,2019,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,840
United States of America,2019,Researchers per million inhabitants (FTE),4821.2,,840
United States of America,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.4,,840
US Virgin Islands,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,850
US Virgin Islands,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,850
Uruguay,2002,Researchers per million inhabitants (FTE),373.4,,858
Uruguay,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,858
Uruguay,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,858
Uruguay,2010,Researchers per million inhabitants (FTE),629.3,,858
Uruguay,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,858
Uruguay,2015,Researchers per million inhabitants (FTE),677.0,,858
Uruguay,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,858
Uruguay,2020,Researchers per million inhabitants (FTE),795.7,,858
Uruguay,2021,Researchers per million inhabitants (FTE),795.4,,858
Uzbekistan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,860
Uzbekistan,2005,Researchers per million inhabitants (FTE),632.8,,860
Uzbekistan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,860
Uzbekistan,2010,Researchers per million inhabitants (FTE),545.0,,860
Uzbekistan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,860
Uzbekistan,2015,Researchers per million inhabitants (FTE),497.4,,860
Uzbekistan,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,860
Uzbekistan,2021,Researchers per million inhabitants (FTE),523.4,,860
Venezuela,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,862
Venezuela,2005,Researchers per million inhabitants (FTE),122.9,,862
Venezuela,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,862
Venezuela,2010,Researchers per million inhabitants (FTE),204.0,,862
Venezuela,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,862
Venezuela,2014,Researchers per million inhabitants (FTE),272.7,,862
Venezuela,2015,Researchers per million inhabitants (FTE),248.9,,862
Venezuela,2020,Researchers per million inhabitants (FTE),291.1,,862
Viet Nam,2002,Researchers per million inhabitants (FTE),114.4,,704
Viet Nam,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,704
Viet Nam,2015,Researchers per million inhabitants (FTE),678.6,,704
Viet Nam,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,704
Viet Nam,2019,Researchers per million inhabitants (FTE),756.7,,704
Zambia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,894
Zambia,2008,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,894
Zambia,2008,Researchers per million inhabitants (FTE),41.7,,894
Zimbabwe,2012,Researchers per million inhabitants (FTE),99.5,,716
Landlocked Developing Countries,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,432
Landlocked Developing Countries,2005,Researchers per million inhabitants (FTE),143.0,,432
Landlocked Developing Countries,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,432
Landlocked Developing Countries,2010,Researchers per million inhabitants (FTE),135.9,,432
Landlocked Developing Countries,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,432
Landlocked Developing Countries,2015,Researchers per million inhabitants (FTE),161.7,,432
Landlocked Developing Countries,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,432
Landlocked Developing Countries,2020,Researchers per million inhabitants (FTE),167.7,,432
Least Developed Countries,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,199
Least Developed Countries,2005,Researchers per million inhabitants (FTE),48.6,,199
Least Developed Countries,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,199
Least Developed Countries,2010,Researchers per million inhabitants (FTE),60.1,,199
Least Developed Countries,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,199
Least Developed Countries,2015,Researchers per million inhabitants (FTE),70.4,,199
Least Developed Countries,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,199
Least Developed Countries,2020,Researchers per million inhabitants (FTE),76.1,,199
Small Island Developing States,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,722
Small Island Developing States,2005,Researchers per million inhabitants (FTE),609.5,,722
Small Island Developing States,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,722
Small Island Developing States,2010,Researchers per million inhabitants (FTE),722.0,,722
Small Island Developing States,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.1,,722
Small Island Developing States,2015,Researchers per million inhabitants (FTE),812.1,,722
Small Island Developing States,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,722
Small Island Developing States,2020,Researchers per million inhabitants (FTE),893.2,,722
Australia,2017,,1.87977,AUS,
Australia,2019,,1.82892,AUS,
Austria,2016,,3.11655,AUT,
Austria,2017,,3.05656,AUT,
Austria,2018,,3.09182,AUT,
Austria,2019,,3.13247,AUT,
Austria,2020,,3.20149,AUT,
Austria,2021,,3.25632,AUT,
Belgium,2016,,2.52338,BEL,
Belgium,2017,,2.66666,BEL,
Belgium,2018,,2.86018,BEL,
Belgium,2019,,3.1566,BEL,
Belgium,2020,,3.39697,BEL,
Belgium,2021,,3.42979,BEL,
Canada,2016,,1.72903,CAN,
Canada,2017,,1.68702,CAN,
Canada,2018,,1.7372,CAN,
Canada,2019,,1.75573,CAN,
Canada,2020,,1.89484,CAN,
Canada,2021,,1.69727,CAN,
Canada,2022,,1.55182,CAN,
Czechia,2016,,1.67003,CZE,
Czechia,2017,,1.76855,CZE,
Czechia,2018,,1.89906,CZE,
Czechia,2019,,1.92734,CZE,
Czechia,2020,,1.98599,CZE,
Czechia,2021,,1.99601,CZE,
Denmark,2016,,3.09283,DNK,
Denmark,2017,,2.93124,DNK,
Denmark,2018,,2.96603,DNK,
Denmark,2019,,2.89685,DNK,
Denmark,2020,,2.96873,DNK,
Denmark,2021,,2.81262,DNK,
Finland,2016,,2.72442,FIN,
Finland,2017,,2.72787,FIN,
Finland,2018,,2.75749,FIN,
Finland,2019,,2.79961,FIN,
Finland,2020,,2.91243,FIN,
Finland,2021,,2.98934,FIN,
France,2016,,2.22238,FRA,
France,2017,,2.19888,FRA,
France,2018,,2.19666,FRA,
France,2019,,2.19179,FRA,
France,2020,,2.28189,FRA,
France,2021,,2.21918,FRA,
Germany,2016,,2.94039,DEU,
Germany,2017,,3.0471,DEU,
Germany,2018,,3.11011,DEU,
Germany,2019,,3.16779,DEU,
Germany,2020,,3.12979,DEU,
Germany,2021,,3.14246,DEU,
Greece,2016,,1.00529,GRC,
Greece,2017,,1.15228,GRC,
Greece,2018,,1.21371,GRC,
Greece,2019,,1.27496,GRC,
Greece,2020,,1.50793,GRC,
Greece,2021,,1.45642,GRC,
Hungary,2016,,1.17987,HUN,
Hungary,2017,,1.31702,HUN,
Hungary,2018,,1.50775,HUN,
Hungary,2019,,1.47291,HUN,
Hungary,2020,,1.59315,HUN,
Hungary,2021,,1.6423,HUN,
Iceland,2016,,2.11011,ISL,
Iceland,2017,,2.08413,ISL,
Iceland,2018,,2.00081,ISL,
Iceland,2019,,2.34165,ISL,
Iceland,2020,,2.49069,ISL,
Iceland,2021,,2.80542,ISL,
Ireland,2016,,1.17507,IRL,
Ireland,2017,,1.25187,IRL,
Ireland,2018,,1.1672,IRL,
Ireland,2019,,1.22527,IRL,
Ireland,2020,,1.23252,IRL,
Ireland,2021,,1.13093,IRL,
Italy,2016,,1.36642,ITA,
Italy,2017,,1.37013,ITA,
Italy,2018,,1.42443,ITA,
Italy,2019,,1.46159,ITA,
Italy,2020,,1.5068,ITA,
Italy,2021,,1.45392,ITA,
Japan,2016,,3.10666,JPN,
Japan,2017,,3.16636,JPN,
Japan,2018,,3.2192,JPN,
Japan,2019,,3.21824,JPN,
Japan,2020,,3.26897,JPN,
Japan,2021,,3.29581,JPN,
South Korea,2016,,3.98704,KOR,
South Korea,2017,,4.29206,KOR,
South Korea,2018,,4.51633,KOR,
South Korea,2019,,4.62703,KOR,
South Korea,2020,,4.79571,KOR,
South Korea,2021,,4.93012,KOR,
Luxembourg,2016,,1.2669,LUX,
Luxembourg,2017,,1.23898,LUX,
Luxembourg,2018,,1.1718,LUX,
Luxembourg,2019,,1.18287,LUX,
Luxembourg,2020,,1.0915,LUX,
Luxembourg,2021,,1.04215,LUX,
Mexico,2016,,0.38778,MEX,
Mexico,2017,,0.32832,MEX,
Mexico,2018,,0.30643,MEX,
Mexico,2019,,0.28394,MEX,
Mexico,2020,,0.30003,MEX,
Mexico,2021,,0.28243,MEX,
Mexico,2022,,0.26855,MEX,
Netherlands,2016,,2.15081,NLD,
Netherlands,2017,,2.17857,NLD,
Netherlands,2018,,2.1388,NLD,
Netherlands,2019,,2.18435,NLD,
Netherlands,2020,,2.32182,NLD,
Netherlands,2021,,2.30886,NLD,
New Zealand,2017,,1.34912,NZL,
New Zealand,2019,,1.40641,NZL,
New Zealand,2021,,1.45475,NZL,
Norway,2016,,2.03287,NOR,
Norway,2017,,2.08167,NOR,
Norway,2018,,2.03482,NOR,
Norway,2019,,2.136,NOR,
Norway,2020,,2.24436,NOR,
Norway,2021,,1.93798,NOR,
Poland,2016,,0.96821,POL,
Poland,2017,,1.03785,POL,
Poland,2018,,1.2061,POL,
Poland,2019,,1.32335,POL,
Poland,2020,,1.38608,POL,
Poland,2021,,1.43585,POL,
Portugal,2016,,1.28075,PRT,
Portugal,2017,,1.31928,PRT,
Portugal,2018,,1.34955,PRT,
Portugal,2019,,1.39562,PRT,
Portugal,2020,,1.61392,PRT,
Portugal,2021,,1.68072,PRT,
Portugal,2022,,1.72783,PRT,
Slovakia,2016,,0.78857,SVK,
Slovakia,2017,,0.88456,SVK,
Slovakia,2018,,0.83555,SVK,
Slovakia,2019,,0.82241,SVK,
Slovakia,2020,,0.89781,SVK,
Slovakia,2021,,0.91539,SVK,
Spain,2016,,1.18986,ESP,
Spain,2017,,1.20977,ESP,
Spain,2018,,1.24151,ESP,
Spain,2019,,1.25025,ESP,
Spain,2020,,1.41039,ESP,
Spain,2021,,1.42929,ESP,
Sweden,2016,,3.24736,SWE,
Sweden,2017,,3.36279,SWE,
Sweden,2018,,3.32106,SWE,
Sweden,2019,,3.38758,SWE,
Sweden,2020,,3.4896,SWE,
Sweden,2021,,3.41743,SWE,
Switzerland,2017,,3.07698,CHE,
Switzerland,2019,,3.1968,CHE,
Switzerland,2021,,3.35918,CHE,
Turkey,2016,,1.11979,TUR,
Turkey,2017,,1.17632,TUR,
Turkey,2018,,1.27174,TUR,
Turkey,2019,,1.32146,TUR,
Turkey,2020,,1.36757,TUR,
Turkey,2021,,1.40352,TUR,
United Kingdom,2016,,2.31145,GBR,
United Kingdom,2017,,2.3232,GBR,
United Kingdom,2018,,2.70482,GBR,
United Kingdom,2019,,2.66552,GBR,
United Kingdom,2020,,2.93144,GBR,
United Kingdom,2021,,2.91476,GBR,
United States of America,2016,,2.8535,USA,
United States of America,2017,,2.90432,USA,
United States of America,2018,,3.0101,USA,
United States of America,2019,,3.17049,USA,
United States of America,2020,,3.46777,USA,
United States of America,2021,,3.45705,USA,
Argentina,2016,,0.55815,ARG,
Argentina,2017,,0.55631,ARG,
Argentina,2018,,0.4883,ARG,
Argentina,2019,,0.47813,ARG,
Argentina,2020,,0.54154,ARG,
Argentina,2021,,0.51764,ARG,
Armenia,2016,,0.23305,ARM,
Armenia,2017,,0.22788,ARM,
Armenia,2018,,0.18876,ARM,
Armenia,2019,,0.17854,ARM,
Armenia,2020,,0.2092,ARM,
Armenia,2021,,0.20583,ARM,
Armenia,2022,,0.20966,ARM,
Azerbaijan,2016,,0.20637,AZE,
Azerbaijan,2017,,0.18468,AZE,
Azerbaijan,2018,,0.18416,AZE,
Azerbaijan,2019,,0.20013,AZE,
Azerbaijan,2020,,0.2239,AZE,
Azerbaijan,2021,,0.20836,AZE,
Azerbaijan,2022,,0.15147,AZE,
Belarus,2016,,0.50063,BLR,
Belarus,2017,,0.58411,BLR,
Belarus,2018,,0.60443,BLR,
Belarus,2019,,0.57733,BLR,
Belarus,2020,,0.53901,BLR,
Belarus,2021,,0.45981,BLR,
Belarus,2022,,0.48064,BLR,
Bermuda,2018,,0.22851,BMU,
Bermuda,2019,,0.26451,BMU,
Bermuda,2020,,0.22546,BMU,
Brazil,2016,,1.28637,BRA,
Brazil,2017,,1.1175,BRA,
Brazil,2018,,1.16769,BRA,
Brazil,2019,,1.21096,BRA,
Brazil,2020,,1.14526,BRA,
Brunei,2018,,0.27763,BRN,
Bulgaria,2016,,0.76976,BGR,
Bulgaria,2017,,0.73995,BGR,
Bulgaria,2018,,0.75379,BGR,
Bulgaria,2019,,0.83236,BGR,
Bulgaria,2020,,0.84924,BGR,
Bulgaria,2021,,0.7726,BGR,
Burkina Faso,2017,,0.61361,BFA,
Burkina Faso,2019,,0.17278,BFA,
Burkina Faso,2020,,0.24824,BFA,
Burkina Faso,2021,,0.25006,BFA,
China,2016,,2.10033,CHN,
China,2017,,2.11603,CHN,
China,2018,,2.14058,CHN,
China,2019,,2.24463,CHN,
China,2020,,2.40666,CHN,
China,2021,,2.4326,CHN,
Colombia,2016,,0.27051,COL,
Colombia,2017,,0.26109,COL,
Colombia,2018,,0.31233,COL,
Colombia,2019,,0.32201,COL,
Colombia,2020,,0.28961,COL,
Costa Rica,2016,,0.44335,CRI,
Costa Rica,2017,,0.42587,CRI,
Costa Rica,2018,,0.37144,CRI,
Costa Rica,2020,,0.33002,CRI,
Costa Rica,2021,,0.27531,CRI,
Croatia,2016,,0.84995,HRV,
Croatia,2017,,0.84727,HRV,
Croatia,2018,,0.95125,HRV,
Croatia,2019,,1.07963,HRV,
Croatia,2020,,1.24261,HRV,
Croatia,2021,,1.24485,HRV,
Cuba,2016,,0.34223,CUB,
Cuba,2017,,0.43066,CUB,
Cuba,2018,,0.53691,CUB,
Cuba,2019,,0.55308,CUB,
Cuba,2020,,0.51838,CUB,
Cuba,2021,,0.32282,CUB,
Cyprus,2016,,0.5197,CYP,
Cyprus,2017,,0.54259,CYP,
Cyprus,2018,,0.61405,CYP,
Cyprus,2019,,0.7095,CYP,
Cyprus,2020,,0.84387,CYP,
Cyprus,2021,,0.83059,CYP,
Egypt,2016,,0.70848,EGY,
Egypt,2017,,0.64486,EGY,
Egypt,2018,,0.68839,EGY,
Egypt,2019,,0.79617,EGY,
Egypt,2020,,0.91564,EGY,
Egypt,2021,,0.91175,EGY,
Egypt,2022,,1.01968,EGY,
El Salvador,2016,,0.14493,SLV,
El Salvador,2017,,0.18078,SLV,
El Salvador,2018,,0.16531,SLV,
El Salvador,2019,,0.17477,SLV,
El Salvador,2020,,0.16294,SLV,
El Salvador,2021,,0.16026,SLV,
Estonia,2016,,1.24306,EST,
Estonia,2017,,1.27685,EST,
Estonia,2018,,1.40999,EST,
Estonia,2019,,1.63146,EST,
Estonia,2020,,1.75092,EST,
Estonia,2021,,1.75215,EST,
Gambia,2018,,0.06933,GMB,
Georgia,2016,,0.28586,GEO,
Georgia,2017,,0.27023,GEO,
Georgia,2018,,0.28052,GEO,
Georgia,2019,,0.28468,GEO,
Georgia,2020,,0.3008,GEO,
Georgia,2021,,0.25174,GEO,
Georgia,2022,,0.23832,GEO,
Guatemala,2016,,0.02311,GTM,
Guatemala,2017,,0.02955,GTM,
Guatemala,2018,,0.02938,GTM,
Guatemala,2019,,0.02642,GTM,
Guatemala,2020,,0.04888,GTM,
Guatemala,2021,,0.05863,GTM,
Honduras,2017,,0.03994,HND,
Honduras,2018,,0.06394,HND,
Honduras,2019,,0.05948,HND,
Hong Kong,2016,,0.7915,HKG,
Hong Kong,2017,,0.83519,HKG,
Hong Kong,2018,,0.8633,HKG,
Hong Kong,2019,,0.92557,HKG,
Hong Kong,2020,,0.99236,HKG,
Hong Kong,2021,,0.97038,HKG,
Hong Kong,2022,,1.06948,HKG,
India,2016,,0.66984,IND,
India,2017,,0.66603,IND,
India,2018,,0.66001,IND,
India,2019,,0.65942,IND,
India,2020,,0.64636,IND,
Iran,2017,,0.75983,IRN,
Iran,2019,,0.78829,IRN,
Israel,2016,,4.47174,ISR,
Israel,2017,,4.62415,ISR,
Israel,2018,,4.77613,ISR,
